State,Sector,Year,Value
Alabama,Commercial,1990,2.42905961
Alabama,Commercial,1991,1.999039181
Alabama,Commercial,1992,2.10271026
Alabama,Commercial,1993,2.050459531
Alabama,Commercial,1994,2.054953587
Alabama,Commercial,1995,1.962635606
Alabama,Commercial,1996,2.16116966
Alabama,Commercial,1997,2.41725419
Alabama,Commercial,1998,1.903053976
Alabama,Commercial,1999,2.187002963
Alabama,Commercial,2000,2.249259264
Alabama,Commercial,2001,2.163411252
Alabama,Commercial,2002,1.992450203
Alabama,Commercial,2003,2.089619089
Alabama,Commercial,2004,2.156909764
Alabama,Commercial,2005,1.845364474
Alabama,Commercial,2006,2.221401682
Alabama,Commercial,2007,1.987871607
Alabama,Commercial,2008,2.00558636
Alabama,Commercial,2009,1.911421108
Alabama,Commercial,2010,2.106000397
Alabama,Electric Power,1990,50.27912291
Alabama,Electric Power,1991,54.17572092
Alabama,Electric Power,1992,56.93123865
Alabama,Electric Power,1993,62.81750371
Alabama,Electric Power,1994,58.81594081
Alabama,Electric Power,1995,64.40742034
Alabama,Electric Power,1996,69.57749278
Alabama,Electric Power,1997,67.96935336
Alabama,Electric Power,1998,68.93072565
Alabama,Electric Power,1999,70.05937282
Alabama,Electric Power,2000,74.89726339
Alabama,Electric Power,2001,72.16981157
Alabama,Electric Power,2002,75.61479855
Alabama,Electric Power,2003,76.33260667
Alabama,Electric Power,2004,75.84225401
Alabama,Electric Power,2005,79.45518208
Alabama,Electric Power,2006,81.74055834
Alabama,Electric Power,2007,83.99531856
Alabama,Electric Power,2008,79.22448094
Alabama,Electric Power,2009,65.02485862
Alabama,Electric Power,2010,75.16996481
Alabama,Industrial,1990,25.15260302
Alabama,Industrial,1991,25.35642866
Alabama,Industrial,1992,28.35753465
Alabama,Industrial,1993,26.18251082
Alabama,Industrial,1994,27.12284387
Alabama,Industrial,1995,27.83579769
Alabama,Industrial,1996,28.69560786
Alabama,Industrial,1997,28.71109015
Alabama,Industrial,1998,25.53367821
Alabama,Industrial,1999,25.69769616
Alabama,Industrial,2000,25.05669072
Alabama,Industrial,2001,21.67986136
Alabama,Industrial,2002,21.66985636
Alabama,Industrial,2003,22.87043509
Alabama,Industrial,2004,23.29474997
Alabama,Industrial,2005,21.8356008
Alabama,Industrial,2006,21.39072107
Alabama,Industrial,2007,20.88349745
Alabama,Industrial,2008,20.6289889
Alabama,Industrial,2009,17.27462164
Alabama,Industrial,2010,18.46710183
Alabama,Residential,1990,3.090437994
Alabama,Residential,1991,3.015759107
Alabama,Residential,1992,3.203561102
Alabama,Residential,1993,3.420544658
Alabama,Residential,1994,3.301291875
Alabama,Residential,1995,3.311795951
Alabama,Residential,1996,3.726128311
Alabama,Residential,1997,3.342523608
Alabama,Residential,1998,3.107526768
Alabama,Residential,1999,3.311441421
Alabama,Residential,2000,3.659040878
Alabama,Residential,2001,3.531741702
Alabama,Residential,2002,3.241810682
Alabama,Residential,2003,3.082443039
Alabama,Residential,2004,2.975717981
Alabama,Residential,2005,2.71552007
Alabama,Residential,2006,2.500806428
Alabama,Residential,2007,2.368922837
Alabama,Residential,2008,2.523544719
Alabama,Residential,2009,2.491174728
Alabama,Residential,2010,2.829480521
Alabama,Transportation,1990,28.13211289
Alabama,Transportation,1991,28.69669902
Alabama,Transportation,1992,29.38596629
Alabama,Transportation,1993,29.51122185
Alabama,Transportation,1994,30.66061877
Alabama,Transportation,1995,32.15012816
Alabama,Transportation,1996,31.54043078
Alabama,Transportation,1997,31.16940035
Alabama,Transportation,1998,31.77765917
Alabama,Transportation,1999,32.16014285
Alabama,Transportation,2000,33.54666855
Alabama,Transportation,2001,31.50646673
Alabama,Transportation,2002,33.50170931
Alabama,Transportation,2003,32.22753484
Alabama,Transportation,2004,35.0389334
Alabama,Transportation,2005,34.9750812
Alabama,Transportation,2006,35.59589794
Alabama,Transportation,2007,36.14558254
Alabama,Transportation,2008,34.08755017
Alabama,Transportation,2009,32.68519566
Alabama,Transportation,2010,33.52332015
