,latitude,longitude,diameter_mm,length_cm_drilled,length_cm_concrete,date
0,-20.58271,-48.57118,400,1096,1104,2020-11-25
1,-20.58272,-48.57116,400,1080,1088,2020-11-23
2,-20.58272,-48.57125,400,1104,1112,2020-11-24
3,-20.58272,-48.57107,400,1096,1104,2020-11-26
4,-20.58272,-48.57113,400,1096,1104,2020-11-26
5,-20.58272,-48.57099,400,1200,1200,2020-11-26
6,-20.58272,-48.57131,400,1096,1104,2020-11-25
7,-20.58272,-48.5714,400,1096,1104,2020-11-25
8,-20.58273,-48.57133,400,1192,1200,2020-11-23
9,-20.58273,-48.57128,400,1192,1200,2020-11-24
10,-20.58273,-48.57127,400,1096,1104,2020-11-24
11,-20.58273,-48.57128,400,1208,1216,2020-11-27
12,-20.58273,-48.57125,400,1200,1208,2020-11-26
13,-20.58274,-48.57097,400,1200,1200,2020-11-23
14,-20.58274,-48.57125,400,1224,1232,2020-11-27
15,-20.58274,-48.57111,400,1096,1104,2020-11-26
16,-20.58274,-48.57116,400,1096,1104,2020-11-25
17,-20.58274,-48.57121,400,1104,1112,2020-11-25
18,-20.58274,-48.57126,400,1200,1208,2020-11-25
19,-20.58275,-48.57122,400,1200,1208,2020-11-27
20,-20.58275,-48.5711,400,1200,1192,2020-11-27
21,-20.58275,-48.57107,400,1192,1200,2020-11-26
22,-20.58275,-48.57104,400,1200,1208,2020-11-25
23,-20.58276,-48.57118,400,1016,1016,2020-11-23
24,-20.58276,-48.57126,400,1200,1208,2020-11-24
25,-20.58276,-48.57117,400,1200,1208,2020-11-26
26,-20.58276,-48.57115,400,1096,1104,2020-11-26
27,-20.58277,-48.57099,400,1200,1208,2020-11-23
28,-20.58277,-48.57136,400,1200,1208,2020-11-23
29,-20.58277,-48.57117,400,1192,1200,2020-11-25
30,-20.58278,-48.57115,400,1200,1208,2020-11-24
31,-20.58278,-48.5711,400,1200,1232,2020-11-26
32,-20.58278,-48.57123,400,1008,1064,2019-08-08
33,-20.5828,-48.57098,400,1208,1208,2020-11-24
34,-20.5828,-48.57119,400,1200,1208,2020-11-24
35,-20.58281,-48.57104,400,1200,1200,2020-11-24
36,-20.58281,-48.5711,400,1200,1200,2020-11-24
37,-20.58281,-48.57129,400,1208,1216,2020-11-26
38,-20.58282,-48.57112,400,1200,1208,2020-11-27
39,-20.58283,-48.57093,400,1000,1008,2020-11-23
40,-20.58283,-48.57124,400,1200,1208,2020-11-26
41,-20.58283,-48.57132,400,1200,1208,2020-11-26
42,-20.58283,-48.57112,400,1096,1104,2020-11-25
43,-20.58284,-48.57109,400,1240,1240,2020-11-23
44,-20.58287,-48.57129,400,1200,1192,2020-11-23
45,-20.58287,-48.57099,400,1208,1200,2020-11-27
46,-20.58288,-48.5711,400,1200,1216,2020-11-24
47,-20.58288,-48.57098,400,1104,1208,2020-11-26
48,-20.5829,-48.57112,400,1192,1200,2020-11-24
49,-20.5829,-48.57112,400,1200,1208,2020-11-26
50,-20.58295,-48.57119,400,1208,1216,2020-11-27
51,-20.58298,-48.5714,400,1192,1200,2020-11-23
52,-20.5832,-48.57084,400,1184,1184,2020-11-25
53,-20.58564,-48.53328,300,1504,1512,2022-02-09
54,-20.58565,-48.5334,300,808,816,2022-02-04
55,-20.58566,-48.53343,300,1504,1336,2022-02-03
56,-20.58567,-48.53332,300,1512,1504,2022-02-11
57,-20.58567,-48.53327,300,1304,1304,2022-02-08
58,-20.58567,-48.53343,300,1504,1512,2022-02-03
59,-20.58568,-48.53326,300,1504,1496,2022-02-09
60,-20.58569,-48.53345,300,1504,1504,2022-02-04
61,-20.5857,-48.53344,300,1504,1512,2022-02-04
62,-20.58572,-48.53325,300,1216,1216,2022-02-11
63,-20.58572,-48.53347,300,1504,1512,2022-02-04
64,-20.58573,-48.53323,300,1368,1368,2022-02-08
65,-20.58573,-48.53338,300,816,800,2022-02-03
66,-20.58573,-48.53344,300,1504,1288,2022-02-03
67,-20.58573,-48.53334,300,1504,1504,2022-02-09
68,-20.58574,-48.53344,300,808,808,2022-02-03
69,-20.58575,-48.5334,300,1504,1512,2022-02-08
70,-20.58575,-48.53335,300,808,808,2022-02-03
71,-20.58575,-48.53344,300,1504,1504,2022-02-09
72,-20.58575,-48.5332,300,1504,1512,2022-02-09
73,-20.58576,-48.53319,300,1304,1312,2022-02-11
74,-20.58576,-48.53337,300,1504,1504,2022-02-03
75,-20.58577,-48.53332,300,1304,1304,2022-02-11
76,-20.58577,-48.53342,300,1504,1504,2022-02-09
77,-20.58577,-48.5334,300,1504,1504,2022-02-04
78,-20.58578,-48.53338,300,1504,1512,2022-02-08
79,-20.58578,-48.53338,300,1512,1512,2022-02-08
80,-20.58578,-48.53338,300,1368,1384,2022-02-03
81,-20.58578,-48.5332,300,1312,1304,2022-02-09
82,-20.58579,-48.53319,300,1512,1512,2022-02-08
83,-20.58579,-48.53336,300,1344,1352,2022-02-03
84,-20.58579,-48.53332,300,1304,1312,2022-02-03
85,-20.5858,-48.53332,300,808,808,2022-02-03
86,-20.5858,-48.53331,300,1304,1304,2022-02-04
87,-20.5858,-48.53337,300,1320,1352,2022-02-04
88,-20.5858,-48.53334,300,1504,1504,2022-02-04
89,-20.58581,-48.53341,300,808,840,2022-02-11
90,-20.58581,-48.53316,300,1240,1232,2022-02-03
91,-20.58581,-48.5333,300,808,808,2022-02-03
92,-20.58581,-48.53335,300,1528,1512,2022-02-03
93,-20.58581,-48.53347,300,1504,1512,2022-02-09
94,-20.58582,-48.53311,300,1280,1352,2022-02-11
95,-20.58582,-48.53332,300,1504,1512,2022-02-08
96,-20.58582,-48.53345,300,1504,1504,2022-02-08
97,-20.58582,-48.53336,300,1504,1512,2022-02-04
98,-20.58583,-48.53321,300,808,808,2022-02-03
99,-20.58583,-48.53349,300,1504,1400,2022-02-04
100,-20.58584,-48.53334,300,1248,1248,2022-02-03
101,-20.58585,-48.53345,300,1504,1504,2022-02-08
102,-20.58585,-48.53351,300,1504,1504,2022-02-08
103,-20.58585,-48.5332,300,808,840,2022-02-03
104,-20.58585,-48.53325,300,1504,1504,2022-02-09
105,-20.58585,-48.53325,300,1512,1504,2022-02-04
106,-20.58585,-48.53326,300,1504,1512,2022-02-04
107,-20.58586,-48.53327,300,1480,1488,2022-02-08
108,-20.58586,-48.53323,300,1504,1504,2022-02-08
109,-20.58586,-48.53325,300,1304,1304,2022-02-08
110,-20.58586,-48.53354,300,1504,1504,2022-02-09
111,-20.58586,-48.5334,300,1504,1504,2022-02-09
